FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
17/06/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
25/06/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
28/06/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
09/07/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
12/07/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
14/07/2021;ARGANZUELA;CL FERROCARRIL 19;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
03/08/2021;ARGANZUELA;CL EMBAJADORES 63;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/08/2021;ARGANZUELA;CL EMBAJADORES 63;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
17/06/2021;ARGANZUELA;CL ANCORA 5;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
17/06/2021;ARGANZUELA;PO DELICIAS 26;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
01/07/2021;ARGANZUELA;PO DELICIAS 26;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
08/07/2021;ARGANZUELA;PO DELICIAS 26;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
11/02/2021;RETIRO;AV CIUDAD DE BARCELONA 108;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
23/06/2021;RETIRO;AV CIUDAD DE BARCELONA 29;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
23/06/2021;RETIRO;AV CIUDAD DE BARCELONA 29;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
29/09/2021;RETIRO;AV CIUDAD DE BARCELONA 29;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
07/05/2021;RETIRO;CL JUAN DE URBIETA 6;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
02/06/2021;RETIRO;CL JUAN DE URBIETA 6;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
09/09/2021;RETIRO;CL JUAN DE URBIETA 6;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
09/02/2021;RETIRO;CL VALDERRIBAS 26;NO PROGRAMADA;472906 - COMERCIO AL POR MENOR DE GOLOSINAS;COMERCIO MINORISTA ALIMENTACIÓN
23/04/2021;RETIRO;CL JUAN DE URBIETA 24;NO PROGRAMADA;563004 - TABERNA;RESTAURACIÓN COLECTIVA
08/06/2021;RETIRO;CL JUAN DE URBIETA 24;NO PROGRAMADA;563004 - TABERNA;RESTAURACIÓN COLECTIVA
18/02/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472204 - COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA;COMERCIO MINORISTA ALIMENTACIÓN
18/02/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
18/02/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
18/02/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
18/02/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472204 - COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA;COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;HORTALEZA;CR CANILLAS 31;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
03/02/2021;RETIRO;CL SANCHEZ BARCAIZTEGUI 7;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
